hour,length,angle
21,307.8391543,0.325803663
22,307.2174342,0.326521292
23,308.314265,0.327238922
0,308.5650083,0.327956551
1,307.6839812,0.32867418
2,308.0302947,0.329391809
3,307.6058808,0.330109438
4,309.8283162,0.330827068
5,308.5149966,0.331544697
6,307.8682707,0.332262326
7,313.2818602,0.332979955
8,319.2424948,0.333697585
9,311.2392612,0.334415214
10,309.345327,0.335132843
11,309.3456695,0.335850472
12,312.9132812,0.336568101
13,319.9371772,0.337285731
14,318.9609224,0.33800336
15,311.1601332,0.338720989
16,307.5120233,0.339438618
17,307.0458189,0.340156247
18,307.1544058,0.340873877
19,308.1066824,0.341591506
20,307.5901237,0.342309135
21,306.9690887,0.343026764
22,307.7363907,0.343744394
23,308.0148802,0.344462023
0,307.6904896,0.345179652
1,310.6764589,0.345897281
2,325.639875,0.34661491
3,365.3470671,0.34733254
4,336.9404519,0.348050169
5,308.0114547,0.348767798
6,315.3593988,0.349485427
7,308.3700999,0.350203056
8,306.9944371,0.350920686
9,307.8394969,0.351638315
10,307.1160407,0.352355944
11,310.7696313,0.353073573
12,313.6507817,0.353791203
13,319.4949509,0.354508832
14,320.3513147,0.355226461
15,309.1767946,0.35594409
16,306.7837716,0.356661719
17,307.701451,0.357379349
18,307.4294699,0.358096978
19,306.8426894,0.358814607
20,304.8350301,0.359532236
21,301.5161065,0.360249865
22,301.1112177,0.360967495
23,303.1709439,0.361685124
0,309.4460354,0.362402753
1,309.4977598,0.363120382
2,311.8483071,0.363838012
3,312.2083225,0.364555641
4,312.0171821,0.36527327
5,343.6276256,0.365990899
6,310.6541934,0.366708528
7,309.0038091,0.367426158
8,322.2880671,0.368143787
9,318.4621761,0.368861416
10,327.6249264,0.369579045
11,319.6580025,0.370296674
12,331.9272981,0.371014304
13,341.9368209,0.371731933
14,319.8398942,0.372449562
15,309.7690558,0.373167191
16,309.5176274,0.373884821
17,306.9118836,0.37460245
18,307.2479207,0.375320079
19,308.0128249,0.376037708
20,307.2718989,0.376755337
21,307.6329419,0.377472967
22,307.675075,0.378190596
23,309.198375,0.378908225
0,308.2255457,0.379625854
1,310.3942014,0.380343483
2,310.3428196,0.381061113
3,310.9583739,0.381778742
4,309.8029678,0.382496371
5,310.6089774,0.383214
6,311.9606621,0.38393163
7,316.478495,0.384649259
8,318.04016,0.385366888
9,322.2257238,0.386084517
10,317.6554814,0.386802146
11,311.1971281,0.387519776
12,320.6572078,0.388237405
13,320.3225409,0.388955034
14,320.7229766,0.389672663
15,312.8019539,0.390390292
16,307.6493841,0.391107922
17,307.9915871,0.391825551
18,306.817341,0.39254318
19,307.4935259,0.393260809
20,308.1460751,0.393978439
21,306.6919694,0.394696068
22,307.5918365,0.395413697
23,309.2864092,0.396131326
0,307.9802831,0.396848955
1,335.0067824,0.397566585
2,315.7499007,0.398284214
3,340.5063508,0.399001843
4,308.8952222,0.399719472
5,334.0582738,0.400437101
6,313.5202718,0.401154731
7,334.0688928,0.40187236
8,322.4439253,0.402589989
9,319.9539619,0.403307618
10,327.5821082,0.404025248
11,327.8232602,0.404742877
12,309.3350506,0.405460506
13,318.0206349,0.406178135
14,343.3361194,0.406895764
15,308.0083718,0.407613394
16,306.662853,0.408331023
17,326.1269748,0.409048652
18,317.5259992,0.409766281
19,315.7886083,0.41048391
20,329.247222,0.41120154
21,307.7137827,0.411919169
22,338.18629,0.412636798
23,308.3635915,0.413354427
0,308.4297028,0.414072056
1,336.2748859,0.414789686
2,312.1648192,0.415507315
3,335.1280435,0.416224944
4,306.8300152,0.416942573
